Country;Year;weighted_avg_Total
AT;2020;9,680226502693282
BE;2020;5,263926688349709
CH;2020;7,98183069446098
CZ;2020;6,974329257741075
DE;2020;6,417467269342381
DK;2020;1,2711724709295644
ES;2020;4,746282823085421
FI;2020;19,923166478569446
FR;2020;6,471096888984177
IT;2020;10,675124421654866
LI;2020;9,660287678137024
LT;2020;3,9534024965951646
LU;2020;7,8877979126359925
NL;2020;3,051275971720039
NO;2020;1,9176042820584471
PL;2020;6,1177209554003555
PT;2020;4,092196234846892
SE;2020;17,944747573228785
SK;2020;10,499438829345229
